time,underlying,expiry,strike,option_type,ltp,iv,delta,gamma,theta,vega,oi,volume,bid_price,ask_price
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,21750.0,PE,8.8,0.2991,-0.0355,0.000126,-7.9063,1.6177,1019395,19501495,8.8,9.65
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,21800.0,CE,1014.55,0.0,1.0,0.0,0.0,0.0,6500,6110,1007.15,1099.25
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,21800.0,PE,11.25,0.3011,-0.0437,0.000149,-9.4178,1.9153,4515875,52086255,10.9,11.25
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,21850.0,CE,956.6,0.0,1.0,0.0,0.0,0.0,650,1690,893.0,1039.5
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,21850.0,PE,12.85,0.2968,-0.0496,0.000167,-10.2739,2.1213,819975,17021290,12.95,13.4
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,21900.0,CE,923.0,0.0,1.0,0.0,0.0,0.0,7735,19500,904.35,925.65
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,21900.0,PE,15.85,0.2974,-0.0593,0.000192,-11.8442,2.4426,2403180,38817870,15.45,15.85
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,21950.0,CE,890.0,0.2463,0.9622,0.000162,-11.0309,1.7028,1040,3705,765.45,904.85
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,21950.0,PE,18.9,0.2961,-0.0692,0.000217,-13.2766,2.7521,787345,21248955,18.55,19.2
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22000.0,CE,825.45,0.0,1.0,0.0,0.0,0.0,723750,1280370,821.15,827.7
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22000.0,PE,22.8,0.296,-0.0811,0.000245,-14.9653,3.1065,9502470,125073000,22.45,23.0
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22050.0,CE,764.0,0.0,1.0,0.0,0.0,0.0,6240,12545,692.5,815.3
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22050.0,PE,26.8,0.2943,-0.0933,0.000274,-16.5041,3.4495,769080,28194855,26.5,26.9
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22100.0,CE,741.25,0.217,0.9523,0.000221,-11.4526,2.0537,26260,28145,716.0,740.65
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22100.0,PE,31.2,0.292,-0.1065,0.000304,-18.023,3.8005,1782755,48445540,30.65,31.45
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22150.0,CE,695.0,0.2207,0.9367,0.000272,-13.4184,2.5702,7475,13000,626.35,697.3
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22150.0,PE,36.25,0.2898,-0.1212,0.000336,-19.594,4.1687,699335,30511845,36.2,37.45
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22200.0,CE,644.7,0.2066,0.9345,0.000299,-13.053,2.6394,86905,263510,640.0,650.3
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22200.0,PE,42.55,0.2887,-0.1386,0.00037,-21.385,4.5723,2883465,61100910,42.0,42.55
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22250.0,CE,604.8,0.225,0.8993,0.000379,-17.4999,3.6484,18590,24895,590.05,618.2
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22250.0,PE,48.8,0.2857,-0.156,0.000405,-22.8861,4.9511,1029405,36955750,47.5,49.75
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22300.0,CE,560.0,0.2236,0.8799,0.000433,-19.174,4.1402,154180,408330,555.0,562.85
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22300.0,PE,56.55,0.284,-0.1763,0.000441,-24.5806,5.3575,2698800,72270055,56.15,56.55
2026-03-29T09:16:22.454826+05:30,NIFTY,2026-03-30,22350.0,CE,516.8,0.2236,0.8564,0.00049,-21.1022,4.684,29965,49985,502.2,524.9
