date,open,high,low,close,volume,oi,source
2026-03-30T14:11:00+05:30,27.97,27.97,27.97,27.97,0,0,real
2026-03-30T14:12:00+05:30,27.93,27.93,27.93,27.93,0,0,real
2026-03-30T14:13:00+05:30,27.93,27.93,27.93,27.93,0,0,real
2026-03-30T14:14:00+05:30,27.91,27.91,27.91,27.91,0,0,real
2026-03-30T14:15:00+05:30,27.93,27.93,27.93,27.93,0,0,real
2026-03-30T14:16:00+05:30,27.96,27.96,27.96,27.96,0,0,real
2026-03-30T14:17:00+05:30,27.99,27.99,27.99,27.99,0,0,real
2026-03-30T14:18:00+05:30,27.99,27.99,27.99,27.99,0,0,real
2026-03-30T14:19:00+05:30,27.98,27.98,27.98,27.98,0,0,real
2026-03-30T14:20:00+05:30,27.96,27.96,27.96,27.96,0,0,real
2026-03-30T14:21:00+05:30,27.91,27.91,27.91,27.91,0,0,real
2026-03-30T14:22:00+05:30,27.91,27.91,27.91,27.91,0,0,real
2026-03-30T14:23:00+05:30,27.92,27.92,27.92,27.92,0,0,real
2026-03-30T14:24:00+05:30,27.93,27.93,27.93,27.93,0,0,real
2026-03-30T14:25:00+05:30,27.95,27.95,27.95,27.95,0,0,real
2026-03-30T14:26:00+05:30,27.95,27.95,27.95,27.95,0,0,real
2026-03-30T14:27:00+05:30,27.9,27.9,27.9,27.9,0,0,real
2026-03-30T14:28:00+05:30,27.92,27.92,27.92,27.92,0,0,real
2026-03-30T14:29:00+05:30,27.89,27.89,27.89,27.89,0,0,real
2026-03-30T14:30:00+05:30,27.91,27.91,27.91,27.91,0,0,real
2026-03-30T14:31:00+05:30,27.9,27.9,27.9,27.9,0,0,real
2026-03-30T14:32:00+05:30,27.92,27.92,27.92,27.92,0,0,real
2026-03-30T14:33:00+05:30,27.9,27.9,27.9,27.9,0,0,real
2026-03-30T14:34:00+05:30,27.85,27.85,27.85,27.85,0,0,real
2026-03-30T14:35:00+05:30,27.85,27.85,27.85,27.85,0,0,real
2026-03-30T14:36:00+05:30,27.85,27.85,27.85,27.85,0,0,real
2026-03-30T14:37:00+05:30,27.81,27.81,27.81,27.81,0,0,real
2026-03-30T14:38:00+05:30,27.81,27.81,27.81,27.81,0,0,real
2026-03-30T14:39:00+05:30,27.81,27.81,27.81,27.81,0,0,real
2026-03-30T14:40:00+05:30,27.81,27.81,27.81,27.81,0,0,real
2026-03-30T14:41:00+05:30,27.81,27.81,27.81,27.81,0,0,real
2026-03-30T14:42:00+05:30,27.8,27.8,27.8,27.8,0,0,real
2026-03-30T14:43:00+05:30,27.81,27.81,27.81,27.81,0,0,real
2026-03-30T14:44:00+05:30,27.74,27.74,27.74,27.74,0,0,real
2026-03-30T14:45:00+05:30,27.78,27.78,27.78,27.78,0,0,real
2026-03-30T14:46:00+05:30,27.73,27.73,27.73,27.73,0,0,real
2026-03-30T14:47:00+05:30,27.74,27.74,27.74,27.74,0,0,real
2026-03-30T14:48:00+05:30,27.74,27.74,27.74,27.74,0,0,real
2026-03-30T14:49:00+05:30,27.75,27.75,27.75,27.75,0,0,real
2026-03-30T14:50:00+05:30,27.74,27.74,27.74,27.74,0,0,real
2026-03-30T14:51:00+05:30,27.77,27.77,27.77,27.77,0,0,real
2026-03-30T14:52:00+05:30,27.88,27.88,27.88,27.88,0,0,real
2026-03-30T14:53:00+05:30,27.86,27.86,27.86,27.86,0,0,real
2026-03-30T14:54:00+05:30,27.83,27.83,27.83,27.83,0,0,real
2026-03-30T14:55:00+05:30,27.84,27.84,27.84,27.84,0,0,real
2026-03-30T14:56:00+05:30,27.83,27.83,27.83,27.83,0,0,real
2026-03-30T14:57:00+05:30,27.77,27.77,27.77,27.77,0,0,real
2026-03-30T14:58:00+05:30,27.71,27.71,27.71,27.71,0,0,real
2026-03-30T14:59:00+05:30,27.76,27.76,27.76,27.76,0,0,real
2026-03-30T15:00:00+05:30,27.74,27.74,27.74,27.74,0,0,real
2026-03-30T15:01:00+05:30,27.94,27.94,27.94,27.94,0,0,real
2026-03-30T15:02:00+05:30,27.84,27.84,27.84,27.84,0,0,real
2026-03-30T15:03:00+05:30,27.83,27.83,27.83,27.83,0,0,real
2026-03-30T15:04:00+05:30,27.86,27.86,27.86,27.86,0,0,real
